符号	数值	单位	备注
R	0.100000	m	驱动轮半径
L	0.116973	m	摆杆质心到驱动轮轴距离
L_M	0.153027	m	摆杆质心到机体转轴距离
l	0.126500	m	机体质心到机体转轴距离
m_w	0.320000	kg	单个驱动轮质量
m_p	0.510000	kg	单侧摆杆质量，不含驱动轮
M	1.1500000	kg	机体质量
I_w	0.001620	kg·m²	驱动轮绕轮轴转动惯量，取 URDF iyy
I_p	0.016617	kg·m²	单侧摆杆绕自身质心俯仰惯量
I_M	0.022350	kg·m²	机体绕俯仰轴惯量，取 URDF iyy

腿长 Le (m)	L (m)	L_M (m)
0.18	0.083759,0.096241
0.19	0.087244,0.102756
0.20	0.090798	0.109202
0.21	0.094411,0.115589
0.22	0.098074,0.121926
0.23	0.101782,0.128218
0.24,	0.105530,0.134470
0.25,	0.109313,0.140687
0.26,	0.113128,0.146872
0.27,	0.116973,0.153027
0.28,	0.120846,0.159154
0.29,	0.124745,0.165255
0.30,	0.128669,0.171331
0.31,	0.132617,0.177383
0.32,	0.136589,0.183411
0.33,	0.140585,0.189415
0.34,	0.144606,0.195394

